Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2020-04-01,1.7225017547607422,1.7369460611541854,1.686791570673424,1.7140752605277054,77832242
2020-04-02,1.726513385772705,1.7826868869962482,1.6851864699897015,1.7493843863383964,71893904
2020-04-03,1.6827791929244995,1.7092607243800888,1.6615136117992992,1.6932110935852775,74860512
2020-04-06,1.792717695236206,1.7967295034918858,1.7253101330036016,1.7698468944418588,79884864
2020-04-07,1.8039518594741821,1.8934278659544084,1.753798164332589,1.8376554428710874,78233454
2020-04-08,1.7770692110061646,1.793921002345363,1.7373472169818203,1.752593885677171,56071651
2020-04-09,1.73734712600708,1.8171927898199187,1.73734712600708,1.815988748257962,96444637
2020-04-14,1.7020384073257446,1.7814829987494167,1.6891992222350947,1.7794765953322558,81912698
2020-04-15,1.60574209690094,1.7036438074512803,1.60574209690094,1.7020384850021582,130683830
2020-04-16,1.5797420740127563,1.6546925235139631,1.5656182912359824,1.6370384688352067,74726755
2020-04-17,1.5723590850830078,1.6530880752230894,1.566421328742575,1.6530880752230894,91478406
2020-04-20,1.5656182765960693,1.6001251219155588,1.5142605370710462,1.6001251219155588,79779248
2020-04-21,1.5009396076202393,1.5327174403898163,1.4962847522490388,1.5246921271440108,58965928
2020-04-22,1.5441124439239502,1.5527791087335263,1.500618308134711,1.5166679388129134,56361286
2020-04-23,1.6025323867797852,1.6185812175089829,1.547161944307067,1.559198966638205,99308363
2020-04-24,1.5279027223587036,1.5843960539203192,1.5279027223587036,1.5527790297540005,55513920
2020-04-27,1.5807050466537476,1.5967546772892627,1.5415442433734527,1.596112428536222,46701840
2020-04-28,1.6562975645065308,1.6908034081545666,1.5577545161353343,1.5608033506905463,79861533
2020-04-29,1.7369463443756104,1.7433656378685183,1.6494766327913135,1.6611125755026603,68643204
2020-04-30,1.635032057762146,1.7618225743406162,1.6197853887896119,1.7389517723133208,120458238
2020-05-04,1.5723590850830078,1.612563217609156,1.5638531323346896,1.6001251133955308,75360653
2020-05-05,1.5977176427841187,1.6370384590312892,1.5680257663709587,1.609754765876775,64679090
2020-05-06,1.5540627241134644,1.6061431659518006,1.5457175834142498,1.596273158692124,49659329
2020-05-07,1.572038173675537,1.5821492479804082,1.5486063788627502,1.5569514190622449,40824255
2020-05-08,1.603334665298462,1.6113590812460292,1.5583961192486628,1.57637169738229,32503278
2020-05-11,1.5580755472183228,1.651483020176419,1.5511740177773616,1.62098887901354,46262468
2020-05-12,1.5685070753097534,1.5901737353937133,1.5409026593186073,1.5409026593186073,37437662
2020-05-13,1.503507137298584,1.5519769543083228,1.503507137298584,1.5426680406979245,58700122
2020-05-14,1.5015813112258911,1.5237294106945565,1.4444457269233701,1.492593921148185,112284656
2020-05-15,1.4715691804885864,1.527260241706178,1.4572845888394825,1.5155439458079358,65731156
2020-05-18,1.5495692491531372,1.5508529479176796,1.478149181054106,1.502704761247136,65886065
2020-05-19,1.4630627632141113,1.6113591422807276,1.4381864539437772,1.5888903175995615,138520704
2020-05-20,1.5124953985214233,1.5136182857064426,1.4251864029828774,1.4604953105177174,87949958
2020-05-21,1.4911491870880127,1.5246921561872404,1.4725321609538693,1.4905069384169543,78564654
2020-05-22,1.5213217735290527,1.5495692351785815,1.4548772865050277,1.4726921503498374,71483314
2020-05-25,1.5540627241134644,1.5625694751138954,1.5259767703263913,1.548766418145606,36162054
2020-05-26,1.645062804222107,1.647871269841422,1.5827916298710833,1.5906553336051654,104703714
2020-05-27,1.7253103256225586,1.7325325794996602,1.661112502290424,1.6691369182661049,163041496
2020-05-28,1.711267113685608,1.7413591729657312,1.6623158599525103,1.7253103408725146,84254726
2020-05-29,1.635032057762146,1.6940139274479853,1.6181801662955217,1.6843843892625563,94033974
2020-06-01,1.663118600845337,1.6904022905815264,1.6330255473313315,1.6787663498178662,46868074
2020-06-02,1.7361431121826172,1.7574087903764672,1.6570997089236756,1.6731493376411815,90360536
2020-06-03,1.7915138006210327,1.802748662689589,1.744168664422754,1.7626249823908007,104291317
2020-06-04,1.8212056159973145,1.8456807433513474,1.7501867202121884,1.7758658892732417,155656164
2020-06-05,2.027841091156006,2.0302483760933776,1.8681497381966212,1.869755060653198,179073551
2020-06-08,2.0503106117248535,2.086421678999721,1.987316734594241,2.006174130812237,153582762
2020-06-09,2.0065762996673584,2.0442918961088545,1.9459890995759481,2.0374707227639997,105918101
2020-06-10,1.9504026174545288,2.0816068147014963,1.932347384106505,2.0402796996122525,106533532
2020-06-11,1.7690447568893433,1.866544376124421,1.769044756889343,1.8537049923918434,145378645
2020-06-12,1.7758660316467285,1.8360513518836745,1.7349401895706968,1.7429646061271369,104574909
2020-06-15,1.7257113456726074,1.7469770255029387,1.6851865890402744,1.6871927927843482,91745881
2020-06-16,1.8055570125579834,1.855711507112679,1.747779183364717,1.7850944930577881,89181618
2020-06-17,1.803149700164795,1.8416682566350158,1.7754649244190193,1.8007424151617477,105297491
2020-06-18,1.7541992664337158,1.8208036730465083,1.7229029673936893,1.7830880810698455,110590741
2020-06-19,1.7277177572250366,1.7866988299415423,1.7212976656431016,1.7814829796812763,308358441
2020-06-22,1.7088595628738403,1.7441684694611501,1.6952172176267974,1.716081816534639,50640206
2020-06-23,1.793118953704834,1.8232112119797335,1.7160818461815965,1.7325325575422985,86341389
2020-06-24,1.7132731676101685,1.8167917989690487,1.7132731676101685,1.7798775718200621,46782259
2020-06-25,1.7562053203582764,1.761822450751348,1.6787663421439536,1.7092604765183972,71505718
2020-06-26,1.702439308166504,1.7830879327460727,1.702439308166504,1.7794764069774573,65801602
2020-06-29,1.771051049232483,1.7826869908757017,1.690402418358752,1.7096616945645662,51935742
2020-06-30,1.7449707984924316,1.7726555744619956,1.707655684579953,1.75901422612041,55657742
2020-07-01,1.7196924686431885,1.7614214649862205,1.7020383155871603,1.7465758772785758,46316352
2020-07-02,1.8340446949005127,1.8657422738795524,1.736143192950317,1.7517917413915667,86761795
2020-07-03,1.7875019311904907,1.8432735614294593,1.767840773503243,1.8324397808090802,42074784
2020-07-06,1.875372052192688,1.9106809620373677,1.845680872735824,1.854507651002162,63384499
2020-07-07,1.8196005821228027,1.864137150719279,1.8196005821228027,1.8537052498089786,49532159
2020-07-08,1.7782734632492065,1.8115761684952407,1.7726555333303553,1.802748591834905,44230272
2020-07-09,1.7449707984924316,1.8015445918692572,1.743766756696882,1.7943223375174417,65119315
2020-07-10,1.7814830541610718,1.7814830541610718,1.7212977376066845,1.7253103449236842,45390302
2020-07-13,1.802347183227539,1.8296308725301045,1.7806806242544484,1.8171927699644617,41570437
2020-07-14,1.784692645072937,1.8011433563124712,1.758612994211384,1.7935200215388445,42544978
2020-07-15,1.8191994428634644,1.8444767327359106,1.746576022027373,1.7995390845111723,83717997
2020-07-16,1.8139832019805908,1.839260688836784,1.7947239267066868,1.8167917672663643,38014757
2020-07-17,1.777470350265503,1.8127792563867962,1.7562054691695599,1.8071621255177595,76359302
2020-07-20,1.7734583616256714,1.779075292282136,1.743365308755503,1.7734583616256714,36951523
2020-07-21,1.763427734375,1.8557115093546563,1.752995035705651,1.7883041417021377,73291726
